global_round,task_pos,round_in_task,client_id,task_id,block,eps_trained,eps_aggr,eps_global,cknna_trained,cknna_aggr,cknna_global
102,4,1,4,3,4,0.349499,2.372477,0.769942,0.143517,0.100149,0.129508
102,4,1,2,4,4,6.8e-05,0.000496,0.000148,0.15098,0.158824,0.27549
102,4,1,0,3,4,4.49941,40.830231,0.800196,0.011917,0.010427,0.114499
103,4,2,4,3,4,0.702386,5.153947,1.477803,0.062742,0.054993,0.091803
103,4,2,0,3,4,3.609308,1.633453,3.985337,0.010427,0.00993,0.081331
103,4,2,2,4,4,1e-05,0.000197,6.7e-05,0.110784,0.15,0.161765
104,4,3,2,4,4,0.00076,0.001974,0.000826,0.17549,0.221569,0.237255
104,4,3,4,3,4,0.409363,2.419914,0.920129,0.183159,0.094337,0.094635
104,4,3,0,3,4,2.754222,2.473046,1.449728,0.00993,0.009732,0.100497
105,4,4,2,4,4,0.000441,0.000388,6.4e-05,0.118627,0.186275,0.176471
105,4,4,4,3,4,0.503505,3.063174,0.472292,0.097019,0.063189,0.101043
105,4,4,0,3,4,7.503554,0.87553,1.752817,0.009732,0.01142,0.129096
106,4,5,2,4,4,0.000388,0.000288,0.000147,0.3,0.205882,0.194118
106,4,5,4,3,4,0.569859,3.182506,1.486666,0.230999,0.076453,0.091356
106,4,5,0,3,4,7.223983,14.915336,1.644997,0.022443,0.031678,0.124131
107,4,6,4,3,4,0.959889,3.077359,0.74747,0.066021,0.060656,0.065574
107,4,6,2,4,4,9.4e-05,0.000264,8.5e-05,0.109804,0.128431,0.144118
107,4,6,0,3,4,11.219326,20.634356,1.484181,0.011917,0.012711,0.089374
108,4,7,0,3,4,7.204271,9.449287,1.028102,0.036147,0.042999,0.201589
108,4,7,2,4,4,0.000363,0.000114,4.6e-05,0.237255,0.310784,0.442157
108,4,7,4,3,4,0.416652,2.008253,0.391173,0.21073,0.159016,0.222653
109,4,8,2,4,4,8.4e-05,0.000649,0.000227,0.169608,0.191176,0.295098
109,4,8,4,3,4,1.046307,2.723373,0.598469,0.110581,0.11237,0.201341
109,4,8,0,3,4,7.020134,8.453284,1.011197,0.04995,0.050447,0.256405
110,4,9,2,4,4,0.001005,0.005377,0.002263,0.192157,0.184314,0.192157
