global_round,task_pos,round_in_task,client_id,task_id,block,eps_trained,eps_aggr,eps_global,cknna_trained,cknna_aggr,cknna_global
59,2,8,1,2,4,0.002349,0.008711,0.0015,0.145596,0.168135,0.434197
59,2,8,2,1,4,0.000168,0.000463,0.000265,0.340708,0.415929,0.617699
59,2,8,4,1,4,1.022013,1.460644,2.227393,0.205253,0.196435,0.409381
59,2,8,0,1,4,6.9e-05,7.2e-05,4.2e-05,0.571739,0.504348,0.730435
59,2,8,3,3,4,1.345444,2.751225,0.729172,0.10624,0.126788,0.332572
60,2,9,0,1,4,4.7e-05,0.000106,3.6e-05,0.480435,0.373913,0.634783
60,2,9,3,3,4,1.243602,2.74689,0.87606,0.092085,0.133181,0.278691
60,2,9,1,2,4,0.003457,0.008969,0.002666,0.096114,0.126684,0.387565
60,2,9,4,1,4,1.011013,1.744076,1.279951,0.202439,0.163227,0.339587
60,2,9,2,1,4,0.000601,0.001049,0.000848,0.411504,0.439823,0.624779
61,2,10,1,2,4,0.004967,0.004773,0.001374,0.156995,0.124352,0.284456
61,2,10,2,1,4,0.000164,0.000161,0.000212,0.342478,0.430973,0.504425
61,2,10,0,1,4,2.6e-05,5e-05,3e-05,0.386957,0.43913,0.602174
61,2,10,3,3,4,1.662035,1.966547,1.14635,0.101979,0.131963,0.215982
61,2,10,4,1,4,1.666247,2.576321,2.18292,0.188743,0.223265,0.261726
62,2,11,0,1,4,9.2e-05,3.7e-05,2.5e-05,0.443478,0.495652,0.663043
62,2,11,2,1,4,0.00015,0.00029,0.000163,0.300885,0.424779,0.524779
62,2,11,1,2,4,0.005196,0.010381,0.00367,0.140933,0.156736,0.340155
62,2,11,4,1,4,0.91903,1.333386,0.710342,0.186116,0.193996,0.372796
62,2,11,3,3,4,1.295472,2.594525,0.831283,0.131963,0.162405,0.248402
63,2,12,4,1,4,0.79153,1.440204,1.097106,0.207505,0.178424,0.379737
63,2,12,1,2,4,0.008269,0.004868,0.002625,0.162694,0.16114,0.400777
63,2,12,0,1,4,4.1e-05,9.3e-05,5.3e-05,0.582609,0.491304,0.632609
63,2,12,2,1,4,0.000438,0.000141,7.7e-05,0.359292,0.423009,0.587611
63,2,12,3,3,4,1.90614,2.952926,0.811587,0.104718,0.162709,0.311568
64,2,13,0,1,4,2.3e-05,2.8e-05,2.7e-05,0.491304,0.45,0.563044
64,2,13,2,1,4,3.9e-05,4.6e-05,5.6e-05,0.342478,0.464602,0.476991
64,2,13,1,2,4,0.005383,0.011062,0.003485,0.151036,0.168912,0.304663
64,2,13,4,1,4,0.937395,2.205329,1.875742,0.209006,0.187242,0.282364
64,2,13,3,3,4,1.425972,3.123353,1.077605,0.107306,0.145662,0.243227
65,2,14,4,1,4,0.677994,1.257966,1.051058,0.194184,0.234709,0.314447
65,2,14,0,1,4,2.8e-05,3.1e-05,1.9e-05,0.569565,0.504348,0.65
65,2,14,2,1,4,0.000121,0.000185,0.000155,0.333628,0.438053,0.520354
65,2,14,3,3,4,1.649011,2.261943,1.100577,0.100761,0.121309,0.263927
